student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,task_completed,final_test_passed,final_test_total,session_duration_s,label_post_query_improvement
11688,1,2,1,164.09,0.0,164.09,107,0.6521,96,11,11,85,0.1028,26,0,0,0.31,0,0,0.0,0.0,0,0,0,0.0,21.01,113.79,2,10.14,0.0,0.0,73.53,7.79,2.03,33.02,7.79,73.53,0.0,7.79,2.03,33.02,0.0,0.0,47.73,17,340,4,4,1,4,4,920.1,
11688,2,2,0,204.69,40.6,38.74,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,22.97,29.8,2,22.97,38.74,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,5.75,0.0,33.0,0.0,0.0,32,409,4,4,1,4,4,920.1,0
11689,1,3,1,79.45,0.0,79.45,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,13.95,55.13,0,0.0,0.0,0.0,0.0,0.0,33.18,46.27,0.0,0.0,0.0,0.0,33.18,46.27,0.0,0.0,0.0,427,199,0,0,1,4,4,710.35,
11689,2,3,0,117.49,38.03,27.89,32,1.1475,27,5,5,22,0.1562,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,9.58,13.81,0,0.0,6.07,6.07,10.02,0.0,0.58,0.0,0.0,10.02,0.0,0.0,0.58,0.0,6.07,0.0,11.22,6,296,0,0,1,4,4,710.35,0
11689,3,3,0,139.04,21.55,19.62,10,0.5097,10,0,0,10,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,11.34,11.34,0,0.0,11.34,11.34,4.3,0.0,3.97,0.0,0.0,4.3,0.0,0.0,3.97,0.0,11.34,0.0,0.0,17,215,0,0,1,4,4,710.35,0
11690,1,2,1,91.14,0.0,91.14,23,0.2524,23,0,0,23,0.0,1,0,0,0.0,0,0,0.0,0.0,1,1,0,7.52,18.96,64.82,0,0.0,0.0,0.0,13.15,4.85,10.74,48.04,0.0,13.15,4.85,0.0,10.74,48.04,0.0,0.0,14.36,38,332,2,4,1,4,4,949.8,
11690,2,2,0,113.53,22.38,19.6,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,11.53,11.53,0,0.0,19.6,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,4.54,0.0,15.05,0.0,0.0,11,504,2,4,1,4,4,949.8,0
11691,1,4,1,132.82,0.0,132.82,16,0.1205,14,1,1,13,0.0625,1,1,1,0.0,1,0,13.23,13.23,0,0,0,0.0,24.55,106.42,0,0.0,0.0,0.0,7.12,16.27,23.89,65.7,0.0,7.12,16.27,0.0,23.89,65.7,0.0,0.0,19.84,77,148,0,0,1,4,4,956.88,
11691,2,4,0,146.1,13.28,12.05,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,6.07,6.07,0,0.0,12.05,0.0,0.0,0.0,5.53,0.0,0.0,0.0,0.0,0.0,5.53,0.0,6.52,0.0,0.0,17,323,0,0,1,4,4,956.88,0
11691,3,4,0,161.82,15.72,13.49,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,9.15,9.15,0,0.0,13.49,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,1.96,0.0,11.54,0.0,0.0,16,488,0,0,1,4,4,956.88,0
11691,4,4,0,307.15,145.33,142.24,39,0.2742,36,2,2,34,0.0513,2,0,0,21.98,0,0,0.0,0.0,2,2,0,14.9,26.55,104.92,0,0.0,74.08,74.08,0.0,23.06,10.91,0.0,0.0,0.0,23.06,0.0,10.91,0.0,77.64,30.64,0.0,50,325,3,4,1,4,4,956.88,1
11692,1,8,1,82.54,0.0,82.54,4,0.0485,2,2,2,0,0.5,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,16.0,50.86,0,0.0,0.0,0.0,1.88,0.0,18.24,42.95,0.0,1.88,0.0,0.0,18.24,42.95,0.0,0.0,19.47,56,189,0,0,1,4,4,2127.22,
11692,2,8,0,100.67,18.14,16.18,2,0.1236,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,6.33,6.33,0,0.0,6.33,6.33,0.0,0.0,7.86,0.0,0.0,0.0,0.0,0.0,7.86,0.0,8.32,0.0,0.0,55,262,0,0,1,4,4,2127.22,0
11692,3,8,0,142.0,41.33,38.5,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,17.78,32.6,0,0.0,38.5,0.0,0.0,0.0,5.44,0.0,0.0,0.0,0.0,0.0,5.44,0.0,33.06,0.0,0.0,27,417,0,0,1,4,4,2127.22,0
11692,4,8,0,160.79,18.79,16.65,2,0.1201,1,1,1,0,0.5,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,7.01,7.01,0,0.0,7.3,7.3,2.97,0.0,6.39,0.0,0.0,2.97,0.0,0.0,6.39,0.0,7.29,0.0,0.0,18,255,0,0,1,4,4,2127.22,0
11692,5,8,0,171.38,10.59,8.59,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,5.86,5.86,0,0.0,8.59,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,2.27,0.0,6.32,0.0,0.0,12,597,0,0,1,4,4,2127.22,0
